PlayerID,TeamID,PlayerNo,PlayerNameE,PlayerNameJ,kWAR,OFFApps,DEFApps,RatingOFF,RatingDEF,HensatiOFF,HensatiDEF,HensatiOFF_abvRep,HensatiDEF_abvRep,Team,League,Division,Order,Rating,Matches,Wins,Loses,ScoreFor,ScoreAgainst,ScoreDiff,WinTable_1,WinTable_2,WinTable_3,WinTable_4,WinTable_5,WinTable_6,WinTable_7,WinTable_8,WinTable_9,WinTable_10,WinTable_11,WinTable_12,WinTable_13,WinTable_14,WinTable_15,WinTable_16,WinTable_17,WinTable_18,WinTable_19,WinTable_20,WinTable_21,WinTable_22,WinTable_23,WinTable_24,WinTable_25,WinTable_26,WinTable_27,WinTable_28,WinTable_29,WinTable_30,WinTable_31,WinTable_32,WinTable_33,WinTable_34,WinTable_35,WinTable_36,WinTable_37,WinTable_38,WinTable_39,WinTable_40,Prob_PS,Prob_PSHome,AbvRpl_OFF,AbvRpl_DEF,AbvRpl_Total,AbvRpl_OFF_1,AbvRpl_DEF_1,AbvRpl_Total_1
8452,706,33,Ira Brown,アイラ・ブラウン,0.194903015719441,1755,1827,-0.0163991651361859,0.01649536326328,-5.80038759109522,-1.71519964053386,-3.12268701121935,1.41154229534696,A東京,B1,東,10,0.0447617528002196,60,41,19,4891,4654,237,3,1,4,2,2,0,2,2,2,0,1,2,1,2,0,2,2,0,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0889964562694954,1.0635115348667,0.974515078597205,-0.017799981374462,0.21379917790804,0.195999196533578
30348,706,75,Taiki Osakabe,小酒部 泰暉,3.95947238246604,3610,3635,0.10151161400096,0.131516918370078,7.58987738244938,13.5374369483516,10.2675779623253,16.6641788842324,A東京,B1,東,10,0.0447617528002196,60,41,19,4891,4654,237,3,1,4,2,2,0,2,2,2,0,1,2,1,2,0,2,2,0,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.41860074331274,11.3787611690174,19.7973619123302,1.84704718740637,2.74855476686221,4.59560195426858
8589,703,6,Makoto Hiejima,比江島 慎,4.05892077905131,4022,3885,0.165693287516235,0.0347722926787966,14.8785207202688,0.708444884848742,17.5562213001447,3.83518682072956,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.9163390375169,6.37826485773972,20.2946038952566,3.56929728920862,1.3317150154312,4.90101230463982
8497,703,9,Yusuke Endo,遠藤 祐亮,1.27556715875278,2668,2853,0.06790115758497,0.0232062156067777,3.77298362103671,-0.825295205647724,6.45068420091258,2.3014467302331,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.44266006839262,2.93517572537129,6.37783579376391,0.706653945313501,0.596685467249013,1.30333941256251
8726,703,10,Kosuke Takeuchi,竹内 公輔,0.585405238450636,1705,1896,0.0305106354937887,0.064618007922756,-0.473184557682091,4.66618870016051,2.20451602219378,7.79293063604133,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.752322602276025,2.17470358997715,2.92702619225318,0.150908567688815,0.443894097728411,0.594802665417226
10885,703,11,Blake Aoki,青木 ブレイク,-0.00251668482371206,115,142,-0.195511256440743,-0.129890547805841,-26.1408380578343,-21.1269620810353,-23.4631374779584,-18.0002201451544,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.00627966955074022,-0.00630375456782007,-0.0125834241185603,-0.00125599037532092,-0.00126078837419477,-0.00251677874951569
5100000036,703,12,Shinji Takashima,高島 紳司,2.88693528272617,3014,2881,0.199239954158758,0.0600151445512625,18.6881703435664,4.05581786828908,21.3658709234423,7.1825598041699,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.69690757845579,4.73776883517505,14.4346764136308,2.37597828225946,0.989346207879509,3.36532449013897
8499,703,13,Hironori Watanabe,渡邉 裕規,-0.0117352735289028,361,425,-0.0869218693269681,-0.0435202760959737,-13.8091354144567,-9.67367956150482,-11.1314348345809,-6.546937625624,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0508476242488464,-0.00782874339566737,-0.0586763676445138,-0.0101725682921985,-0.00156575668913724,-0.0117383249813358
51000425,703,15,Yudai Ishikawa,石川 裕大,-0.00305309745319918,150,182,-0.144567659125879,-0.0723390370585554,-20.3555462317312,-13.4952422894307,-17.6778456518553,-10.3685003535499,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0103892085409998,-0.00487627872499617,-0.0152654872659959,-0.00207799200597079,-0.000975266300083565,-0.00305325830605436
51000461,703,17,Kaisei Hoshikawa,星川 開聖,0.0418257731622936,607,589,0.0258141630429156,0.0311015521416116,-1.0065285913518,0.22167984873193,1.67117198852407,3.34842178461275,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0785358462739805,0.130593019537487,0.209128865811468,0.0157111352924913,0.0261379880960063,0.0418491233884976
